Total Crimes,East Central University,,,,,,Non-Campus,,,Public Property,,,Total,,
Reported For:,,,,,,,,,,,,,,,
Offense Type,2019,,2020,,2021,,2019,2020,2021,2019,2020,2021,2019,2020,2021
,Res,Non- Res,Res,Non- Res,Res,Non- Res,,,,,,,,,
Murder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manslaughter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non- negligent,,,,,,,,,,,,,,,
Manslaughter Negligence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rape,1,0,2,0,1,0,0,0,0,0,0,0,1,2,1
Fondling,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Incest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statutory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rape,,,,,,,,,,,,,,,
Robbery,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
Aggravated Assault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burglary,1,2,0,2,0,1,0,0,0,0,0,0,3,2,1
Arson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Motor,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2
Vehicle Theft,,,,,,,,,,,,,,,
Domestic,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Violence,,,,,,,,,,,,,,,
Dating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Violence,,,,,,,,,,,,,,,
Stalking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hate Crimes,,,,,,,,,,,,,,,
(by prejudices),,,,,,,,,,,,,,,
Race,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orientation,,,,,,,,,,,,,,,
Ethnicity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
